park,hike,geography,length,difficulty,features
"
            Long Distance Trails          ","Appalachian Trail North of Route 17A in Warwick, NY","41.244159, -74.286675","
            4.8 miles          ","
            Moderate          ","
            Views          "
"
            Westchester County          ",Blue Mountain Reservation Loop,"41.271372, -73.928418","
            5.0 miles          ","
            Easy to Moderate          ","
            Bikes allowed, Views          "
"
            Storm King and Black Rock Forest          ",Black Rock Mountain Loop from Reservoir Road Trailhead,"41.41857, -74.01014","
            5.2 miles          ","
            Moderate to Strenuous          ","
            Views, Waterfall          "
"
            Rockland County          ",Buttermilk Falls  in Rockland County,"41.087131, -73.94744","
            1.2 miles          ","
            Easy to Moderate          ","
            Views, Waterfall          "
"
            Catskills          ","Catskills Frick Pond Loop Via Quick Lake, Big Rock and Loggers Loop Trails","41.95102, -74.707197","
            2.2 miles          ","
            Easy          ","
            Views          "
"
            Rockland County          ",Buttermilk Falls and Long Path in Rockland County,"41.087131, -73.94744","
            4.0 miles          ","
            Moderate          ","
            Views, Waterfall          "
"
            Westchester County          ",Bronx River Pathway,"41.072014, -73.768624","
            9.8 miles          ","
            Easy          ","
            Public Transportation, Views          "
"
            Westchester County          ","Butler Memorial Sanctuary (Mt. Kisco, NY)","41.18253, -73.686934","
            3.5 miles          ","
            Easy to Moderate          ","
            Views, Woods          "
"
            Long Island          ",Stump Pond Loop Trail,"40.824707, -73.221348","
            5.4 miles          ","
            Easy          ","
            Historic feature, Public Transportation, Views          "
"
            Catskills          ",Peekamoose and Table Mountains,"41.915164, -74.42908","
            9.2 miles          ","
            Strenuous          ","
            Views, Waterfall, Woods          "
"
            Storm King and Black Rock Forest          ",Whitehorse and Black Rock Mountains from Reservoir Road,"41.41857, -74.01014","
            6.0 miles          ","
            Moderate to Strenuous          ","
            Views          "
"
            Storm King and Black Rock Forest          ",Black Rock Mountain/Hill of Pines/Rattlesnake Hill Loop from Mine Hill Road,"41.402043, -74.047106","
            8.4 miles          ","
            Strenuous          ","
            Swimming, Views          "
"
            Storm King and Black Rock Forest          ",Sutherland Pond/Scenic Trail/Eagle Cliff Loop from Mine Hill Road,"41.402043, -74.047106","
            6.5 miles          ","
            Moderate          ","
            Historic feature, Swimming, Views          "
"
            Harriman-Bear Mountain State Parks          ",West Mountain Loop from Seven Lakes Drive,"41.304125, -74.015924","
            5.4 miles          ","
            Moderate to Strenuous          ","
            Views          "
"
            Fahnestock State Park          ",Wonder Lake Figure-Eight Loop,"41.49487, -73.66284","
            4.0 miles          ","
            Easy to Moderate          ","
            Views          "
"
            Storm King and Black Rock Forest          ",Mt. Misery/Hill of Pines/Rattlesnake Hill/Black Rock Mountain Loop,"41.41857, -74.01014","
            7.5 miles          ","
            Moderate to Strenuous          ","
            Views, Waterfall          "
"
            Shawangunk Mountains          ",Black Creek Preserve,"41.819688, -73.963695","
            2.5 miles          ","
            Easy to Moderate          ","
            Views          "
"
            Catskills          ",Balsam Lake Mountain from Beaver Kill Road,"42.023892, -74.599734","
            4.4 miles          ","
            Strenuous          ","
            Views          "
"
            Storm King and Black Rock Forest          ",Black Rock Mountain and Sphagnum Pond Loop from Mine Hill Road,"41.402043, -74.047106","
            5.0 miles          ","
            Moderate          ","
            Views          "
"
            Fahnestock State Park          ",Wonder Lake/Laurel Pond Loop Hike,"41.49487, -73.66284","
            5.1 miles          ","
            Easy to Moderate          ","
            Views, Woods          "
"
            Westchester County          ","Westchester Wilderness Walk - Pound Ridge, New York","41.17607, -73.599472","
            6.0 miles          ","
            Easy to Moderate          ","
            Views, Woods          "
"
            Westchester County          ",Westmoreland Sanctuary Loop Hike,"41.180915, -73.684788","
            6.0 miles          ","
            Moderate          ","
            Views          "
"
            Westchester County          ",Southeast Loop at Ward Pound Ridge to Highest Point in the Park,"41.260049, -73.574398","
            3.8 miles          ","
            Moderate          ","
            Historic feature, Fees          "
"
            Westchester County          ",Loop Hike to Fire Tower Site and Indian Rock Shelter from Michigan Road Parking Area,"41.248483, -73.595781","
            4.0 miles          ","
            Moderate          ","
            Historic feature, Fees          "
"
            Westchester County          ",Rocks Trail at Ward Pound Ridge Reservation,"41.248483, -73.595781","
            7.5 miles          ","
            Moderate to Strenuous          ","
            Historic feature, Fees, Views          "
"
            Westchester County          ",Northern Loop along Cross River in Ward Pound Ridge Reservation,"41.259643, -73.595637","
            5.0 miles          ","
            Moderate          ","
            Fees          "
"
            Westchester County          ",Ward Pound Ridge Southwest Loop to Leatherman's Cave,"41.248483, -73.595781","
            7.5 miles          ","
            Moderate          ","
            Fees, Views          "
"
            Westchester County          ","Loop hike to CCC Camp Ruins, Indian Rock Shelter, Raven Rocks, Dancing Rock and Bear Rock at Ward Pound Ridge","41.248483, -73.595781","
            5.0 miles          ","
            Easy to Moderate          ","
            Historic feature, Views          "
"
            Dutchess County          ",Wappinger Greenway Trail ,"41.587491, -73.947215","
            5.0 miles          ","
            Moderate          ","
            Historic feature, Public Transportation          "
"
            Dutchess County          ",Walkway Over the Hudson and Franny Reese State Park from Highland (West Shore),"41.698949, -73.963808","
            7.0 miles          ","
            Moderate          ","
            Historic feature, Views          "
"
            Long Island          ",Nassau-Suffolk Greenbelt Trail (Woodbury to Cold Spring Harbor),"40.81558, -73.47083","
            5.7 miles          ","
            Moderate to Strenuous          ","
            Historic feature, Public Transportation, Views          "
"
            Long Island          ",Nassau-Suffolk Greenbelt Trail (Massapequa to Woodbury),"40.81558, -73.47083","
            14.8 miles          ","
            Moderate          ","
            Public Transportation          "
"
            New York City          ",Van Cortlandt Park,"40.889574, -73.898324","
            3.0 miles          ","
            Easy          ","
            Historic feature, Public Transportation          "
"
            Westchester County          ",Teatown Lake/Griffin Swamp Loop,"41.211169, -73.827353","
            2.4 miles          ","
            Easy          ","
            Views          "
"
            Westchester County          ",Three Lakes Loop,"41.211117, -73.827131","
            3.0 miles          ","
            Easy to Moderate          ","
            Views, Waterfall          "
"
            Southern Taconics          ",Brace Mountain on the Taconic Ridge,"42.10994, -73.55896","
            7.0 miles          ","
            Moderate to Strenuous          ","
            Views          "
"
            Westchester County          ",Vernay Lake/Hidden Valley Loop,"41.211117, -73.827131","
            2.0 miles          ","
            Easy to Moderate          ","
            Woods          "
"
            Rockland County          ",Long Path/Bike Path Loop in Tallman Mountain State Park,"41.015473, -73.913419","
            4.3 miles          ","
            Easy to Moderate          ","
            Views          "
"
            Westchester County          ",Sylvan Glen Park Preserve Shorter Loop,"41.29975, -73.85246","
            3.6 miles          ","
            Easy          ","
            Bikes allowed, Historic feature, Views, Woods          "
"
            Southern Taconics          ",South Taconic Trail - Northern Section,"42.170911, -73.463553","
            6.3 miles          ","
            Strenuous          ","
            Historic feature, Views          "
"
            Storm King and Black Rock Forest          ",Crows Nest Mountain/Howell Trail from Route 9W,"41.414925, -73.993714","
            4.3 miles          ","
            Moderate to Strenuous          ","
            Views          "
"
            Storm King and Black Rock Forest          ",Stillman/Highlands/Bluebird Trails Loop from Mountain Road,"41.432191, -74.012237","
            4.1 miles          ","
            Moderate to Strenuous          ","
            Views          "
"
            Westchester County          ",Mohegan Quarry Ramble at Sylvan Glen Park Preserve,"41.29975, -73.85246","
            4.9 miles          ","
            Easy to Moderate          ","
            Bikes allowed, Historic feature, Views          "
"
            Storm King and Black Rock Forest          ",Butter Hill/Stillman/Bluebird Trail Loop from Route 9W,"41.423196, -74.000773","
            3.5 miles          ","
            Moderate to Strenuous          ","
            Views          "
"
            Sterling Forest          ",Hutchinson/Munsee-Eagle/Red Back Multi-Use Trails Loop,"41.20681, -74.239453","
            8.0 miles          ","
            Moderate          ","
            Bikes allowed, Historic feature          "
"
            Sterling Forest          ",Doris Duke Trail,"41.25313, -74.230043","
            3.9 miles          ","
            Moderate          ","
            Views          "
"
            Storm King and Black Rock Forest          ",Butter Hill/Stillman/By-Pass Trail Loop from Route 9W,"41.423196, -74.000773","
            2.5 miles          ","
            Moderate to Strenuous          ","
            Historic feature, Views          "
"
            Dutchess County          ",Stissing Mountain Loop to Fire Tower,"41.969891, -73.682195","
            1.5 miles          ","
            Strenuous          ","
            Views          "
"
            Sterling Forest          ",Indian Hill Loop Trail,"41.260001, -74.173508","
            3.8 miles          ","
            Moderate          ","
            Views          "
"
            Sterling Forest          ",Furnace Loop/Indian Hill Loop Trails from Hall Road,"41.252911, -74.18314","
            4.3 miles          ","
            Moderate          ","
            Historic feature, Views          "
